mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,Gamma_total_alp_GeV,N_signal
0.178,0.00794,0.0002735087408218783,1.0006131217693656e-06,1.8322891810462653e-08,4.279392220547806e-17,0.0003284117219819855
0.178,0.01,0.00031577349142969396,1.5871763525906365e-06,2.90638409190741e-08,6.787988345443164e-17,0.0006014258620466307
0.178,0.0126,0.0005472295884221248,2.5198011343399496e-06,4.614175305511719e-08,1.0776610297225568e-16,0.0016546916851805445
0.178,0.0158,0.000589130460466867,3.962226874285537e-06,7.255496931487891e-08,1.6945534105564316e-16,0.0028011222515064403
0.178,0.02,0.001103723370884426,6.348704856809302e-06,1.1625535353981509e-07,2.715195338177266e-16,0.00840865671036947
0.178,0.0251,0.0016373590020531059,9.999368198640963e-06,1.8310507596852156e-07,4.2765005375126484e-16,0.019647066641865996
0.178,0.0316,0.002346532382169272,1.5848904047391904e-05,2.902198140888465e-07,6.778213642225726e-16,0.0446279598829185
0.178,0.0398,0.0032560385390511325,2.5141497451570562e-05,4.603826671226984e-07,1.0752445058715792e-15,0.0982340215581235
0.178,0.0501,0.0036856174716456075,3.983825726329265e-05,7.295048024774337e-07,1.7037918626945797e-15,0.17619429241140472
0.178,0.0631,0.003787222194271532,6.319510107914957e-05,1.1572074909201532e-06,2.702712227609996e-15,0.28720066725142573
0.178,0.0794,0.002617680032909827,0.00010006113066941866,1.832285857341488e-06,4.279392220547806e-15,0.314313628588462
0.178,0.1,0.0014538894838052308,0.00015871717857891154,2.906375729333667e-06,6.787988345443165e-15,0.2769086842021396
0.178,0.126,0.0005094458218881973,0.0002519789623856404,4.614154227900392e-06,1.077661029722557e-14,0.1540435555093053
0.178,0.158,0.0002928245262120625,0.00039621984140442845,7.255444816048864e-06,1.6945534105564315e-14,0.13922746480208434
0.178,0.2,1.8162784802077904e-07,0.0006348631788628428,1.1625401553979908e-05,2.715195338177266e-14,0.00013837059955738688
0.178,0.251,9.081392401038952e-08,0.000999918693935443,1.8310175680927358e-05,4.276500537512648e-14,0.0001089678483451455
0.178,0.316,0.0,0.0015848448693542392,2.902114758019116e-05,6.778213642225726e-14,0.0
0.178,0.398,0.0,0.0025140351607540142,4.603616848112094e-05,1.075244505871579e-13,0.0
0.178,0.501,0.0,0.003983538031326921,7.294521207337339e-05,1.7037918626945793e-13,0.0
0.178,0.631,0.0,0.006318786205388645,0.00011570749323180087,2.7027122276099956e-13,0.0
0.178,0.794,0.0,0.010004298324242985,0.00018319535477463806,4.2793922205478077e-13,0.0
0.178,1.0,0.0,0.01586715238313974,0.0002905539714912972,6.787988345443165e-13,0.0
0.316,3.16e-08,0.0,1.5847462518646205e-17,2.901934172980444e-19,4.008895752389564e-25,0.0
0.316,3.98e-08,0.0,2.513921499763294e-17,4.603408715918868e-19,6.35940877625297e-25,0.0
0.316,5.01e-08,0.0,3.983465129429097e-17,7.294387711827681e-19,1.0076879133407438e-24,0.0
0.316,6.31e-08,0.0,6.318940798636733e-17,1.157103240914985e-18,1.5984877640474101e-24,0.0
0.316,7.94e-08,0.0,1.0005218394893894e-16,1.832122027997417e-18,2.530996838000188e-24,0.0
