mass,CaPhi,N_signal_h,N_signal_p,N_signal
0.562,0.126,0.0,0.0,0.0
0.562,0.158,0.0,0.0,0.0
0.562,0.2,0.0,0.0,0.0
0.562,0.251,0.0,0.0,0.0
0.562,0.316,0.0,0.0,0.0
0.562,0.398,0.0,0.0,0.0
0.562,0.501,0.0,0.0,0.0
0.562,0.631,0.0,0.0,0.0
0.562,0.794,0.0,0.0,0.0
0.562,1.0,0.0,0.0,0.0
1.0,3.16e-08,0.0,0.0,0.0
1.0,3.98e-08,0.0,0.0,0.0
1.0,5.01e-08,0.0,0.0,0.0
1.0,6.31e-08,0.0,0.0,0.0
1.0,7.94e-08,0.0,0.0,0.0
1.0,1e-07,0.0,0.0,0.0
1.0,1.26e-07,0.0,0.0,0.0
1.0,1.58e-07,0.0,0.0,0.0
1.0,2e-07,0.0,0.0,0.0
1.0,2.51e-07,0.0,0.0,0.0
1.0,3.16e-07,0.0,0.0,0.0
1.0,3.98e-07,0.0,0.0,0.0
1.0,5.01e-07,0.0,0.0,0.0
1.0,6.31e-07,0.0,0.0,0.0
1.0,7.94e-07,0.0,0.0,0.0
1.0,1e-06,0.0,0.0,0.0
1.0,1.26e-06,0.0,0.0,0.0
1.0,1.58e-06,0.0,0.0,0.0
1.0,2e-06,0.0,0.0,0.0
1.0,2.51e-06,0.0,0.0,0.0
1.0,3.16e-06,0.0,0.0,0.0
1.0,3.98e-06,0.0,0.0,0.0
1.0,5.01e-06,0.0,0.0,0.0
1.0,6.31e-06,0.0,0.0,0.0
1.0,7.94e-06,1.0643683987130534e-11,7.385728935159612e-22,1.0643683987869106e-11
1.0,1e-05,0.0,4.636388266282508e-21,4.636388266282508e-21
1.0,1.26e-05,0.0,1.0655436414668026e-18,1.0655436414668026e-18
1.0,1.58e-05,1.1576720169425907e-10,1.6500007774970385e-18,1.1576720334425985e-10
1.0,2e-05,2.5302522832096806e-10,1.980554386397744e-17,2.5302524812651195e-10
1.0,2.51e-05,2.9234883614400765e-10,3.4274496893054904e-17,2.9234887041850455e-10
1.0,3.16e-05,1.6057991806738646e-09,4.986948823377654e-17,1.6057992305433529e-09
1.0,3.98e-05,4.7528985529511715e-09,1.0868445239511521e-16,4.752898661635624e-09
1.0,5.01e-05,1.0173147915539908e-08,4.703007500408678e-16,1.0173148385840659e-08
1.0,6.31e-05,1.8177791824604612e-08,5.082694166678913e-16,1.8177792332874028e-08
1.0,7.94e-05,6.688017989785433e-08,2.453384225071636e-15,6.688018235123856e-08
