mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,C_Zh_eff,Gamma_total_alp_GeV,N_signal
0.1,1e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.802207139453347e-27,0.0
0.1,1.26e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.0363840545961334e-27,0.0
0.1,1.58e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.491829902931337e-27,0.0
0.1,2e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.520882855781339e-26,0.0
0.1,2.51e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.3954285199270035e-26,0.0
0.1,3.16e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.796731961172535e-26,0.0
0.1,3.98e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.022848197179679e-26,0.0
0.1,5.01e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099299e-26,0.0
0.1,6.31e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.513890596851884e-25,0.0
0.1,7.94e-07,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.397048260168411e-25,0.0
0.1,1e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.802207139453348e-25,0.0
0.1,1.26e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.036384054596135e-25,0.0
0.1,1.58e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.491829902931333e-25,0.0
0.1,2e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5208828557813391e-24,0.0
0.1,2.51e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.395428519927004e-24,0.0
0.1,3.16e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.796731961172533e-24,0.0
0.1,3.98e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.02284819717968e-24,0.0
0.1,5.01e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099298e-24,0.0
0.1,6.31e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.513890596851884e-23,0.0
0.1,7.94e-06,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.3970482601684104e-23,0.0
0.1,1e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.802207139453348e-23,0.0
0.1,1.26e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.036384054596134e-23,0.0
0.1,1.58e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.49182990293134e-23,0.0
0.1,2e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5208828557813392e-22,0.0
0.1,2.51e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.3954285199270034e-22,0.0
0.1,3.16e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.796731961172536e-22,0.0
